timestamp,event_id,n_event,callback_id,application_id,source,target,value
2025-04-04 14:46:09.068361,enact,3,interaction_energy,Application,frontend,api,0.8333333333333334
2025-04-04 14:46:09.068364,enact,3,interaction_energy,Application,frontend,redis,0.5
2025-04-04 14:46:09.068366,enact,3,interaction_energy,Application,api,identity_provider,0.5
2025-04-04 14:46:09.068368,enact,3,interaction_energy,Application,api,etcd,0.6666666666666666
2025-04-04 14:46:09.068370,enact,3,interaction_energy,Application,api,database,1.8333333333333333
2025-04-04 14:46:09.068372,enact,3,interaction_energy,Application,api,redis,0.16666666666666666
2025-04-04 14:46:09.068373,enact,3,interaction_energy,Application,identity_provider,etcd,0.16666666666666666
2025-04-04 14:46:09.068498,enact,3,interaction_emissions,Application,load_balancer,frontend,335.0
2025-04-04 14:46:09.068504,enact,3,interaction_emissions,Application,frontend,api,311.6666666666667
2025-04-04 14:46:09.068507,enact,3,interaction_emissions,Application,frontend,redis,255.5
2025-04-04 14:46:09.068509,enact,3,interaction_emissions,Application,api,identity_provider,241.5
2025-04-04 14:46:09.068510,enact,3,interaction_emissions,Application,api,etcd,140.0
2025-04-04 14:46:09.068512,enact,3,interaction_emissions,Application,api,database,583.0
2025-04-04 14:46:09.068513,enact,3,interaction_emissions,Application,api,redis,80.5
2025-04-04 14:46:09.068515,enact,3,interaction_emissions,Application,identity_provider,etcd,57.83333333333333
2025-04-04 14:46:09.069069,enact,3,required_latency,Application,load_balancer,frontend,25
2025-04-04 14:46:09.069072,enact,3,required_latency,Application,frontend,api,25
2025-04-04 14:46:09.069074,enact,3,required_latency,Application,frontend,redis,25
2025-04-04 14:46:09.069076,enact,3,required_latency,Application,api,identity_provider,20
2025-04-04 14:46:09.069077,enact,3,required_latency,Application,api,etcd,20
2025-04-04 14:46:09.069079,enact,3,required_latency,Application,api,database,20
2025-04-04 14:46:09.069080,enact,3,required_latency,Application,api,redis,20
2025-04-04 14:46:09.069081,enact,3,required_latency,Application,identity_provider,etcd,20
2025-04-04 14:46:09.069139,enact,3,required_bandwidth,Application,load_balancer,frontend,0
2025-04-04 14:46:09.069142,enact,3,required_bandwidth,Application,frontend,api,0
2025-04-04 14:46:09.069144,enact,3,required_bandwidth,Application,frontend,redis,0
2025-04-04 14:46:09.069145,enact,3,required_bandwidth,Application,api,identity_provider,0
2025-04-04 14:46:09.069147,enact,3,required_bandwidth,Application,api,etcd,0
2025-04-04 14:46:09.069148,enact,3,required_bandwidth,Application,api,database,0
2025-04-04 14:46:09.069149,enact,3,required_bandwidth,Application,api,redis,0
2025-04-04 14:46:09.069151,enact,3,required_bandwidth,Application,identity_provider,etcd,0
2025-04-04 14:46:09.083876,enact,4,interaction_energy,Application,load_balancer,frontend,0.8333333333333334
2025-04-04 14:46:09.083887,enact,4,interaction_energy,Application,frontend,api,0.8333333333333334
2025-04-04 14:46:09.083890,enact,4,interaction_energy,Application,frontend,redis,0.5
2025-04-04 14:46:09.083892,enact,4,interaction_energy,Application,api,identity_provider,0.5
2025-04-04 14:46:09.083894,enact,4,interaction_energy,Application,api,etcd,0.6666666666666666
2025-04-04 14:46:09.083895,enact,4,interaction_energy,Application,api,database,1.8333333333333333
2025-04-04 14:46:09.083897,enact,4,interaction_energy,Application,api,redis,0.16666666666666666
2025-04-04 14:46:09.083899,enact,4,interaction_energy,Application,identity_provider,etcd,0.16666666666666666
2025-04-04 14:46:09.083998,enact,4,interaction_emissions,Application,load_balancer,frontend,335.0
2025-04-04 14:46:09.084002,enact,4,interaction_emissions,Application,frontend,api,311.6666666666667
2025-04-04 14:46:09.084005,enact,4,interaction_emissions,Application,frontend,redis,255.5
2025-04-04 14:46:09.084007,enact,4,interaction_emissions,Application,api,identity_provider,241.5
2025-04-04 14:46:09.084008,enact,4,interaction_emissions,Application,api,etcd,140.0
2025-04-04 14:46:09.084010,enact,4,interaction_emissions,Application,api,database,583.0
2025-04-04 14:46:09.084011,enact,4,interaction_emissions,Application,api,redis,80.5
2025-04-04 14:46:09.084013,enact,4,interaction_emissions,Application,identity_provider,etcd,57.83333333333333
2025-04-04 14:46:09.084374,enact,4,required_latency,Application,load_balancer,frontend,25
2025-04-04 14:46:09.084378,enact,4,required_latency,Application,frontend,api,25
2025-04-04 14:46:09.084380,enact,4,required_latency,Application,frontend,redis,25
2025-04-04 14:46:09.084382,enact,4,required_latency,Application,api,identity_provider,20
2025-04-04 14:46:09.084383,enact,4,required_latency,Application,api,etcd,20
2025-04-04 14:46:09.084385,enact,4,required_latency,Application,api,database,20
2025-04-04 14:46:09.084386,enact,4,required_latency,Application,api,redis,20
2025-04-04 14:46:09.084387,enact,4,required_latency,Application,identity_provider,etcd,20
2025-04-04 14:46:09.084459,enact,4,required_bandwidth,Application,load_balancer,frontend,0
2025-04-04 14:46:09.084462,enact,4,required_bandwidth,Application,frontend,api,0
2025-04-04 14:46:09.084464,enact,4,required_bandwidth,Application,frontend,redis,0
2025-04-04 14:46:09.084466,enact,4,required_bandwidth,Application,api,identity_provider,0
2025-04-04 14:46:09.084467,enact,4,required_bandwidth,Application,api,etcd,0
2025-04-04 14:46:09.084468,enact,4,required_bandwidth,Application,api,database,0
2025-04-04 14:46:09.084470,enact,4,required_bandwidth,Application,api,redis,0
2025-04-04 14:46:09.084471,enact,4,required_bandwidth,Application,identity_provider,etcd,0
2025-04-04 14:46:09.098563,enact,5,interaction_energy,Application,load_balancer,frontend,0.8333333333333334
2025-04-04 14:46:09.098568,enact,5,interaction_energy,Application,frontend,api,0.8333333333333334
